"","TAXONOMIC.ORDER","COMMON.NAME","SCIENTIFIC.NAME","OBSERVATION.COUNT","LATITUDE","LONGITUDE","OBSERVATION.DATE","TIME.OBSERVATIONS.STARTED","OBSERVER.ID","SAMPLING.EVENT.IDENTIFIER","GROUP.IDENTIFIER"
"98101",31938,"Golden-crowned Sparrow","Zonotrichia atricapilla","1",44.5201324,-123.3461237,"4/30/20","9:03:00","obsr190616","S68137046",""
"98151",31938,"Golden-crowned Sparrow","Zonotrichia atricapilla","29",44.5178604,-123.3458608,"4/5/20","9:12:00","obsr29674","S66789288",""
"98201",31938,"Golden-crowned Sparrow","Zonotrichia atricapilla","4",44.590471,-123.2682002,"4/7/20","12:42:00","obsr225336","S66786932",""
"98251",31938,"Golden-crowned Sparrow","Zonotrichia atricapilla","1",44.590471,-123.2682002,"4/4/20","17:34:00","obsr225336","S66677810",""
"98301",31938,"Golden-crowned Sparrow","Zonotrichia atricapilla","7",44.4215209,-123.3151817,"4/20/20","10:20:00","obsr282983","S67563887",""
"98351",31938,"Golden-crowned Sparrow","Zonotrichia atricapilla","3",44.5676223,-123.3396817,"4/15/20","7:57:00","obsr29084","S67282039",""
"98401",31938,"Golden-crowned Sparrow","Zonotrichia atricapilla","45",44.5488094,-123.3736163,"4/18/20","15:15:00","obsr559925","S67435518",""
"98451",31938,"Golden-crowned Sparrow","Zonotrichia atricapilla","3",44.686848,-123.2074696,"4/30/20","9:27:00","obsr29084","S68147457",""
"98501",7092,"Great Blue Heron","Ardea herodias","2",44.391166,-123.294741,"4/15/20","10:21:00","obsr5905","S67277220",""
"98551",7092,"Great Blue Heron","Ardea herodias","1",44.7014839,-123.20858,"4/16/20","17:47:00","obsr1030707","S67366241",""
"98601",7092,"Great Blue Heron","Ardea herodias","3",44.5870442,-123.2442856,"4/11/20","7:55:00","obsr549493","S67028232",""
"98651",7092,"Great Blue Heron","Ardea herodias","1",44.527874,-123.256492,"4/4/20","11:31:00","obsr1605920","S66631619",""
"98701",7092,"Great Blue Heron","Ardea herodias","1",44.5373738,-123.2487487,"4/8/20","8:50:00","obsr1143022","S66841691",""
"98751",7124,"Great Egret","Ardea alba","8",44.3895666,-123.3003867,"4/11/20","13:45:00","obsr676174","S67057621","G5174964"
"98801",596,"Greater Scaup","Aythya marila","1",44.5215399,-123.3464885,"4/6/20","7:23:00","obsr29674","S66789294",""
"98851",5980,"Greater Yellowlegs","Tringa melanoleuca","6",44.5208411,-123.3378038,"4/29/20","10:13:00","obsr190616","S68060126",""
"98901",5980,"Greater Yellowlegs","Tringa melanoleuca","18",44.5198988,-123.2947755,"4/12/20","10:45:00","obsr131077","S67096491",""
"98951",5980,"Greater Yellowlegs","Tringa melanoleuca","2",44.3870595,-123.3102036,"4/9/20","7:20:00","obsr29674","S69695847",""
"99001",5980,"Greater Yellowlegs","Tringa melanoleuca","36",44.5208411,-123.3378038,"4/21/20","9:28:00","obsr190616","S67586461",""
"99051",5980,"Greater Yellowlegs","Tringa melanoleuca","13",44.524156,-123.34548,"4/27/20","8:30:00","obsr29674","S69696844",""
"99101",5980,"Greater Yellowlegs","Tringa melanoleuca","8",44.5208411,-123.3378038,"4/27/20","9:40:00","obsr602210","S67904719","G5240156"
"99151",5980,"Greater Yellowlegs","Tringa melanoleuca","17",44.6057461,-123.2376337,"4/23/20","7:53:00","obsr688545","S67672219",""
"99201",5980,"Greater Yellowlegs","Tringa melanoleuca","9",44.5201324,-123.3461237,"4/30/20","8:46:00","obsr272653","S68103246",""
"99251",5980,"Greater Yellowlegs","Tringa melanoleuca","30",44.5236053,-123.3415961,"4/20/20","7:42:00","obsr29674","S69696417",""
"99301",8399,"Great Horned Owl","Bubo virginianus","1",44.5410582,-123.2462597,"4/26/20","7:57:00","obsr282983","S67874688",""
"99351",253,"Greater White-fronted Goose","Anser albifrons","X",44.5201324,-123.3461237,"4/18/20","14:30:00","obsr691561","S67509305",""
"99401",253,"Greater White-fronted Goose","Anser albifrons","400",44.5198988,-123.2947755,"4/28/20","9:00:00","obsr195689","S67995898",""
"99451",253,"Greater White-fronted Goose","Anser albifrons","44",44.517271,-123.339454,"4/27/20","15:21:00","obsr665757","S67935625","G5246108"
"99501",253,"Greater White-fronted Goose","Anser albifrons","58",44.517395,-123.347072,"4/21/20","8:23:00","obsr29674","S69696433",""
"99551",253,"Greater White-fronted Goose","Anser albifrons","1800",44.5410582,-123.2462597,"4/28/20","8:00:00","obsr1143022","S68015299",""
"99601",10831,"Hairy Woodpecker","Dryobates villosus","1",44.6169251,-123.2757532,"4/9/20","9:06:00","obsr30686","S66868113",""
"99651",10831,"Hairy Woodpecker","Dryobates villosus","1",44.5373738,-123.2487487,"4/25/20","6:56:00","obsr209655","S67786533",""
"99701",16191,"Hammond's Flycatcher","Empidonax hammondii","1",44.5410582,-123.2462597,"4/21/20","14:04:00","obsr549493","S67602985",""
"99751",27235,"Hermit Thrush","Catharus guttatus","2",44.5410582,-123.2462597,"4/20/20","9:12:00","obsr190616","S67542881",""
"99801",27235,"Hermit Thrush","Catharus guttatus","1",44.5869235,-123.3368647,"4/19/20","10:51:00","obsr29084","S67503675",""
"99851",27235,"Hermit Thrush","Catharus guttatus","1",44.56821,-123.33398,"4/20/20","8:27:00","obsr29084","S67600102",""
"99901",651,"Hooded Merganser","Lophodytes cucullatus","5",44.3907013,-123.2976294,"4/8/20","11:55:00","obsr282983","S66845196",""
"99951",651,"Hooded Merganser","Lophodytes cucullatus","4",44.3907013,-123.2976294,"4/9/20","7:04:00","obsr29674","S69695846",""
"100001",1767,"Horned Grebe","Podiceps auritus","1",44.5201324,-123.3461237,"4/30/20","9:06:00","obsr251801","S68127833",""
"100051",31084,"House Finch","Haemorhous mexicanus","2",44.5453513,-123.2581379,"4/29/20","12:26:00","obsr674552","S68067595",""
"100101",31084,"House Finch","Haemorhous mexicanus","1",44.5898239,-123.2860026,"4/14/20","9:14:00","obsr195689","S67181352",""
"100151",31084,"House Finch","Haemorhous mexicanus","1",44.5629,-123.28949,"4/19/20","9:24:00","obsr29084","S67504839",""
"100201",31084,"House Finch","Haemorhous mexicanus","2",44.6665774,-123.2201672,"4/22/20","13:06:00","obsr688545","S67639385",""
"100251",31084,"House Finch","Haemorhous mexicanus","1",44.6304589,-123.267653,"4/4/20","12:05:00","obsr30686","S66637499",""
"100301",31084,"House Finch","Haemorhous mexicanus","1",44.5906407,-123.2685425,"4/5/20","17:55:00","obsr225336","S72816405",""
"100351",31084,"House Finch","Haemorhous mexicanus","2",44.5831634,-123.2989993,"4/5/20","15:00:00","obsr190616","S66695330",""
"100401",31084,"House Finch","Haemorhous mexicanus","13",44.5410582,-123.2462597,"4/13/20","8:00:00","obsr1143022","S67192173",""
"100451",31084,"House Finch","Haemorhous mexicanus","4",44.4925692,-123.4634247,"4/28/20","6:00:00","obsr292771","S68210617",""
"100501",31084,"House Finch","Haemorhous mexicanus","2",44.548669,-123.30045,"4/21/20","19:22:00","obsr1231121","S67632029","G5216870"
"100551",31084,"House Finch","Haemorhous mexicanus","1",44.5513348,-123.2522249,"4/21/20","15:00:00","obsr1143022","S67605703",""
"100601",31084,"House Finch","Haemorhous mexicanus","1",44.5831634,-123.2989993,"4/30/20","7:06:00","obsr190616","S68097517",""
"100651",30329,"House Sparrow","Passer domesticus","7",44.531373,-123.351782,"4/26/20","7:15:00","obsr913621","S67836005",""
"100701",30329,"House Sparrow","Passer domesticus","2",44.5410582,-123.2462597,"4/27/20","8:03:00","obsr641887","S67948207",""
"100751",30329,"House Sparrow","Passer domesticus","1",44.5410582,-123.2462597,"4/6/20","8:05:00","obsr641887","S66758424",""
"100801",26127,"House Wren","Troglodytes aedon","1",44.522096,-123.29103,"4/27/20","7:33:00","obsr991502","S67894624",""
"100851",26127,"House Wren","Troglodytes aedon","2",44.4287832,-123.3045265,"4/26/20","7:02:00","obsr1635081","S67869333","G5237288"
"100901",26127,"House Wren","Troglodytes aedon","1",44.38313,-123.35564,"4/28/20","6:35:00","obsr29674","S69697554",""
"100951",18358,"Hutton's Vireo","Vireo huttoni","1",44.6260942,-123.2875723,"4/18/20","8:12:00","obsr30686","S67404045",""
"101001",18358,"Hutton's Vireo","Vireo huttoni","1",44.5410582,-123.2462597,"4/12/20","7:04:00","obsr674552","S67087922","G5177150"
"101051",18358,"Hutton's Vireo","Vireo huttoni","X",44.5568599,-123.3243402,"4/23/20","8:22:00","obsr1230846","S67672861",""
"101101",18358,"Hutton's Vireo","Vireo huttoni","2",44.5702327,-123.3315546,"4/4/20","9:00:00","obsr29084","S66646032",""
"101151",5742,"Killdeer","Charadrius vociferus","7",44.5410582,-123.2462597,"4/18/20","7:25:00","obsr342761","S67463289","G5203329"
"101201",5742,"Killdeer","Charadrius vociferus","3",44.5201324,-123.3461237,"4/13/20","14:30:00","obsr251801","S67155552",""
"101251",5742,"Killdeer","Charadrius vociferus","2",44.5201324,-123.3461237,"4/27/20","9:55:00","obsr190616","S67911219",""
"101301",5742,"Killdeer","Charadrius vociferus","6",44.5201324,-123.3461237,"4/18/20","8:38:00","obsr549493","S67413176",""
"101351",5742,"Killdeer","Charadrius vociferus","2",44.5201324,-123.3461237,"4/13/20","12:50:00","obsr282983","S67152719",""
"101401",5742,"Killdeer","Charadrius vociferus","3",44.6057461,-123.2376337,"4/19/20","15:01:00","obsr225336","S67505828",""
"101451",5742,"Killdeer","Charadrius vociferus","2",44.5410582,-123.2462597,"4/21/20","14:04:00","obsr549493","S67602985",""
"101501",5742,"Killdeer","Charadrius vociferus","2",44.3907013,-123.2976294,"4/20/20","18:30:00","obsr678470","S67565129",""
"101551",5742,"Killdeer","Charadrius vociferus","6",44.5201324,-123.3461237,"4/4/20","10:48:00","obsr190616","S66636484",""
"101601",5892,"Least Sandpiper","Calidris minutilla","10",44.6057461,-123.2376337,"4/18/20","10:58:00","obsr209655","S67419174",""
"101651",5892,"Least Sandpiper","Calidris minutilla","8",44.5201324,-123.3461237,"4/29/20","16:02:00","obsr225336","S68084600",""
"101701",5892,"Least Sandpiper","Calidris minutilla","25",44.5208411,-123.3378038,"4/30/20","15:41:00","obsr339309","S68147469","G5253422"
"101751",31375,"Lesser Goldfinch","Spinus psaltria","1",44.47262,-123.37662,"4/11/20","7:28:00","obsr29674","S69696711",""
"101801",31375,"Lesser Goldfinch","Spinus psaltria","5",44.5987945,-123.2826331,"4/29/20","16:50:00","obsr549493","S68082296",""
"101851",31375,"Lesser Goldfinch","Spinus psaltria","4",44.5898239,-123.2860026,"4/14/20","9:14:00","obsr195689","S67181352",""
"101901",31375,"Lesser Goldfinch","Spinus psaltria","15",44.5410582,-123.2462597,"4/26/20","9:10:00","obsr641887","S67853989","G5235411"
"101951",31375,"Lesser Goldfinch","Spinus psaltria","5",44.5410582,-123.2462597,"4/21/20","14:04:00","obsr549493","S67602985",""
"102001",31375,"Lesser Goldfinch","Spinus psaltria","2",44.5869235,-123.3368647,"4/14/20","10:25:00","obsr29084","S67214604",""
"102051",31375,"Lesser Goldfinch","Spinus psaltria","5",44.5373738,-123.2487487,"4/25/20","7:45:00","obsr342761","S67820030","G5232251"
"102101",31375,"Lesser Goldfinch","Spinus psaltria","1",44.5373738,-123.2487487,"4/30/20","12:09:00","obsr225336","S68163295","G5262722"
"102151",31375,"Lesser Goldfinch","Spinus psaltria","2",44.6221643,-123.2833144,"4/4/20","11:30:00","obsr30686","S66637456",""
"102201",31375,"Lesser Goldfinch","Spinus psaltria","3",44.5808312,-123.3020349,"4/12/20","14:33:00","obsr190616","S67109053","G5179173"
"102251",602,"Lesser Scaup","Aythya affinis","15",44.5243,-123.34667,"4/16/20","7:59:00","obsr29674","S69696299",""
"102301",602,"Lesser Scaup","Aythya affinis","7",44.5243,-123.34667,"4/27/20","8:40:00","obsr29674","S69696845",""
"102351",602,"Lesser Scaup","Aythya affinis","50",44.5201324,-123.3461237,"4/26/20","16:37:00","obsr549493","S67872793",""
"102401",5987,"Lesser Yellowlegs","Tringa flavipes","1",44.5236053,-123.3415961,"4/19/20","6:54:00","obsr29674","S69696871",""
"102451",32051,"Lincoln's Sparrow","Melospiza lincolnii","1",44.5753,-123.33464,"4/25/20","7:27:00","obsr29084","S67807497",""
"102501",32051,"Lincoln's Sparrow","Melospiza lincolnii","2",44.7014839,-123.20858,"4/5/20","13:02:00","obsr282983","S66703683",""
"102551",32051,"Lincoln's Sparrow","Melospiza lincolnii","1",44.5718977,-123.3303237,"4/19/20","7:38:00","obsr29084","S67504414",""
"102601",5811,"Long-billed Curlew","Numenius americanus","1",44.5201324,-123.3461237,"4/13/20","12:45:00","obsr339309","S67149891","G5182518"
"102651",5910,"Long-billed Dowitcher","Limnodromus scolopaceus","1",44.524156,-123.34548,"4/19/20","7:14:00","obsr29674","S69697548",""
"102701",32723,"MacGillivray's Warbler","Geothlypis tolmiei","1",44.4139574,-123.3382273,"4/19/20","15:54:00","obsr559925","S67512748",""
"102751",471,"Mallard","Anas platyrhynchos","18",44.5201324,-123.3461237,"4/28/20","7:23:00","obsr272653","S67966984",""
"102801",471,"Mallard","Anas platyrhynchos","8",44.5490992,-123.3433771,"4/7/20","10:09:00","obsr190616","S66782159",""
"102851",471,"Mallard","Anas platyrhynchos","6",44.5485435,-123.3031786,"4/13/20","14:59:00","obsr977297","S67244561",""
"102901",471,"Mallard","Anas platyrhynchos","2",44.6045851,-123.2697673,"4/17/20","18:38:00","obsr426650","S67382500",""
"102951",471,"Mallard","Anas platyrhynchos","6",44.5485435,-123.3031786,"4/8/20","11:33:00","obsr962532","S66829491",""
"103001",471,"Mallard","Anas platyrhynchos","12",44.3895666,-123.3003867,"4/11/20","13:45:00","obsr676174","S67057621","G5174964"
"103051",471,"Mallard","Anas platyrhynchos","14",44.4215209,-123.3151817,"4/23/20","7:40:00","obsr282983","S67703541",""
"103101",471,"Mallard","Anas platyrhynchos","2",44.4274055,-123.3021355,"4/6/20","15:35:00","obsr225336","S66756054",""
"103151",471,"Mallard","Anas platyrhynchos","2",44.5345942,-123.2580936,"4/22/20","15:15:00","obsr1143022","S67650702",""
"103201",471,"Mallard","Anas platyrhynchos","6",44.4215209,-123.3151817,"4/18/20","6:38:00","obsr282983","S67442350",""
"103251",471,"Mallard","Anas platyrhynchos","3",44.5485435,-123.3031786,"4/18/20","10:09:00","obsr977297","S67411347",""
"103301",471,"Mallard","Anas platyrhynchos","3",44.5198988,-123.2947755,"4/27/20","9:06:00","obsr991502","S67896568",""
"103351",26268,"Marsh Wren","Cistothorus palustris","6",44.3907013,-123.2976294,"4/28/20","7:13:00","obsr29674","S69695988",""
"103401",26268,"Marsh Wren","Cistothorus palustris","1",44.4215209,-123.3151817,"4/3/20","13:30:00","obsr882835","S66596295",""
"103451",11441,"Merlin","Falco columbarius","1",44.5178604,-123.3458608,"4/8/20","9:29:00","obsr29674","S69695844",""
"103501",2339,"Mourning Dove","Zenaida macroura","1",44.3870595,-123.3102036,"4/9/20","7:20:00","obsr29674","S69695847",""
"103551",2339,"Mourning Dove","Zenaida macroura","1",44.5208411,-123.3378038,"4/9/20","16:29:00","obsr190616","S66882669",""
"103601",2339,"Mourning Dove","Zenaida macroura","2",44.517395,-123.347072,"4/30/20","7:43:00","obsr29674","S69696115",""
"103651",2339,"Mourning Dove","Zenaida macroura","1",44.5201324,-123.3461237,"4/15/20","9:41:00","obsr190616","S67245451",""
"103701",2339,"Mourning Dove","Zenaida macroura","1",44.59532,-123.26387,"4/17/20","8:18:00","obsr29674","S69696305",""
"103751",2339,"Mourning Dove","Zenaida macroura","4",44.5198988,-123.2947755,"4/20/20","8:15:00","obsr282983","S67562009",""
"103801",2339,"Mourning Dove","Zenaida macroura","4",44.5373738,-123.2487487,"4/25/20","7:45:00","obsr1143022","S67813342","G5232251"
"103851",2339,"Mourning Dove","Zenaida macroura","5",44.341738,-123.38716,"4/26/20","13:00:00","obsr422236","S67871992",""
"103901",2339,"Mourning Dove","Zenaida macroura","2",44.5201324,-123.3461237,"4/19/20","10:19:00","obsr339309","S67501421","G5204719"
"103951",2339,"Mourning Dove","Zenaida macroura","5",44.5410582,-123.2462597,"4/26/20","9:10:00","obsr674552","S67853996","G5235411"
"104001",2339,"Mourning Dove","Zenaida macroura","14",44.4925692,-123.4634247,"4/5/20","6:30:00","obsr292771","S66804526",""
"104051",32701,"Nashville Warbler","Leiothlypis ruficapilla","1",44.5453513,-123.2581379,"4/24/20","13:10:00","obsr641887","S67822038",""
"104101",11284,"Northern Flicker","Colaptes auratus","2",44.603738,-123.332455,"4/24/20","15:07:00","obsr1231121","S68002276","G5246111"
"104151",11284,"Northern Flicker","Colaptes auratus","1",44.522008,-123.293702,"4/16/20","18:28:00","obsr1231121","S67632051","G5216883"
"104201",11284,"Northern Flicker","Colaptes auratus","1",44.535548,-123.371291,"4/13/20","11:07:00","obsr272653","S67137581",""
"104251",11284,"Northern Flicker","Colaptes auratus","2",44.6046502,-123.2447501,"4/29/20","7:30:00","obsr30686","S68036223",""
"104301",11284,"Northern Flicker","Colaptes auratus","2",44.5373738,-123.2487487,"4/26/20","7:55:00","obsr676174","S67846167","G5234385"
"104351",11284,"Northern Flicker","Colaptes auratus","1",44.5597046,-123.2889008,"4/9/20","7:31:00","obsr29084","S66879209",""
"104401",11284,"Northern Flicker","Colaptes auratus","4",44.6004822,-123.2646265,"4/15/20","12:02:00","obsr1396237","S67279581",""
"104451",11284,"Northern Flicker","Colaptes auratus","2",44.5485435,-123.3031786,"4/15/20","13:06:00","obsr962532","S67278787",""
"104501",11284,"Northern Flicker","Colaptes auratus","1",44.5345942,-123.2580936,"4/7/20","10:00:00","obsr1143022","S66799786",""
"104551",11284,"Northern Flicker","Colaptes auratus","2",44.53887,-123.262449,"4/4/20","10:54:00","obsr458115","S66632841",""
"104601",11284,"Northern Flicker","Colaptes auratus","2",44.4925692,-123.4634247,"4/5/20","9:30:00","obsr177336","S66677722","G5164003"
"104651",11284,"Northern Flicker","Colaptes auratus","1",44.6014073,-123.2929516,"4/15/20","18:46:00","obsr209655","S67293489",""
"104701",11284,"Northern Flicker","Colaptes auratus","2",44.4925692,-123.4634247,"4/18/20","18:30:00","obsr292771","S67514095",""
"104751",11284,"Northern Flicker","Colaptes auratus","X",44.4215209,-123.3151817,"4/20/20","14:00:00","obsr887721","S67562081",""
"104801",11284,"Northern Flicker","Colaptes auratus","1",44.5439914,-123.2580405,"4/5/20","11:15:00","obsr828038","S70937116",""
"104851",11284,"Northern Flicker","Colaptes auratus","2",44.517395,-123.347072,"4/21/20","8:23:00","obsr29674","S69696433",""
"104901",11284,"Northern Flicker","Colaptes auratus","1",44.5201324,-123.3461237,"4/22/20","14:30:00","obsr29674","S69696440",""
"104951",11290,"Northern Flicker","Colaptes auratus","2",44.5201324,-123.3461237,"4/6/20","10:25:00","obsr190616","S66735996",""
"105001",11290,"Northern Flicker","Colaptes auratus","1",44.5201324,-123.3461237,"4/8/20","11:04:00","obsr190616","S66831824",""
"105051",7653,"Northern Harrier","Circus hudsonius","1",44.4215209,-123.3151817,"4/25/20","14:00:00","obsr887721","S67817007",""
"105101",7653,"Northern Harrier","Circus hudsonius","1",44.5410582,-123.2462597,"4/17/20","6:44:00","obsr190616","S67386060","G5196941"
"105151",7653,"Northern Harrier","Circus hudsonius","1",44.531373,-123.351782,"4/18/20","7:00:00","obsr913621","S67405489",""
"105201",514,"Northern Pintail","Anas acuta","X",44.5208411,-123.3378038,"4/24/20","14:20:00","obsr887721","S67760787",""
"105251",514,"Northern Pintail","Anas acuta","4",44.5208411,-123.3378038,"4/29/20","7:45:00","obsr913621","S68029281",""
"105301",514,"Northern Pintail","Anas acuta","12",44.5208411,-123.3378038,"4/26/20","8:21:00","obsr913621","S67840550",""
"105351",514,"Northern Pintail","Anas acuta","X",44.518418,-123.348566,"4/25/20","17:07:00","obsr299653","S67820707","G5232329"
"105401",434,"Northern Shoveler","Spatula clypeata","60",44.5201324,-123.3461237,"4/25/20","9:10:00","obsr676174","S68456789","G5228722"
"105451",434,"Northern Shoveler","Spatula clypeata","170",44.524156,-123.34548,"4/26/20","7:13:00","obsr29674","S69696838",""
"105501",434,"Northern Shoveler","Spatula clypeata","4",44.3895666,-123.3003867,"4/2/20","7:45:00","obsr602210","S66539416","G5143339"
"105551",434,"Northern Shoveler","Spatula clypeata","135",44.524156,-123.34548,"4/9/20","9:14:00","obsr29674","S69695860",""
"105601",434,"Northern Shoveler","Spatula clypeata","8",44.3907013,-123.2976294,"4/11/20","18:45:00","obsr282983","S67063203",""
"105651",434,"Northern Shoveler","Spatula clypeata","106",44.5215399,-123.3464885,"4/8/20","8:49:00","obsr29674","S69695838",""
"105701",23036,"Northern Rough-winged Swallow","Stelgidopteryx serripennis","1",44.5201324,-123.3461237,"4/28/20","11:45:00","obsr29674","S69695999",""
"105751",23036,"Northern Rough-winged Swallow","Stelgidopteryx serripennis","2",44.5410582,-123.2462597,"4/26/20","9:10:00","obsr641887","S67853989","G5235411"
"105801",16117,"Olive-sided Flycatcher","Contopus cooperi","7",44.5410582,-123.2462597,"4/28/20","8:00:00","obsr1143022","S68015299",""
"105851",32693,"Orange-crowned Warbler","Leiothlypis celata","3",44.5898239,-123.2860026,"4/27/20","18:34:00","obsr195689","S67985553",""
"105901",32693,"Orange-crowned Warbler","Leiothlypis celata","2",44.5760452,-123.3264935,"4/12/20","8:10:00","obsr29084","S67104332",""
"105951",32693,"Orange-crowned Warbler","Leiothlypis celata","1",44.5178604,-123.3458608,"4/6/20","8:16:00","obsr29674","S66789300",""
"106001",32693,"Orange-crowned Warbler","Leiothlypis celata","1",44.39479,-123.30061,"4/13/20","7:15:00","obsr29084","S67149221",""
"106051",32693,"Orange-crowned Warbler","Leiothlypis celata","1",44.6003347,-123.2620046,"4/10/20","12:16:00","obsr225336","S66945420","G5173156"
"106101",32693,"Orange-crowned Warbler","Leiothlypis celata","1",44.5980522,-123.2627942,"4/15/20","7:26:00","obsr426650","S67233902",""
"106151",32693,"Orange-crowned Warbler","Leiothlypis celata","4",44.5718977,-123.3303237,"4/10/20","7:58:00","obsr29084","S66941009",""
"106201",32693,"Orange-crowned Warbler","Leiothlypis celata","1",44.6004822,-123.2646265,"4/8/20","15:30:00","obsr1396237","S66847975",""
"106251",32693,"Orange-crowned Warbler","Leiothlypis celata","5",44.4925692,-123.4634247,"4/25/20","6:00:00","obsr292771","S67838053",""
"106301",32693,"Orange-crowned Warbler","Leiothlypis celata","8",44.5831634,-123.2989993,"4/24/20","14:25:00","obsr190616","S67743750",""
"106351",32693,"Orange-crowned Warbler","Leiothlypis celata","8",44.5455328,-123.3158869,"4/4/20","8:46:00","obsr676174","S66626763","G5149062"
"106401",32693,"Orange-crowned Warbler","Leiothlypis celata","4",44.5870442,-123.2442856,"4/2/20","15:17:00","obsr549493","S66550470",""
"106451",32693,"Orange-crowned Warbler","Leiothlypis celata","1",44.6004822,-123.2646265,"4/13/20","18:26:00","obsr225336","S67159529",""
"106501",32693,"Orange-crowned Warbler","Leiothlypis celata","1",44.704959,-123.2288489,"4/12/20","8:22:00","obsr30686","S67092495",""
"106551",32693,"Orange-crowned Warbler","Leiothlypis celata","3",44.5373738,-123.2487487,"4/24/20","9:43:00","obsr1396237","S67907432","G5229519"
"106601",32693,"Orange-crowned Warbler","Leiothlypis celata","1",44.68842,-123.20508,"4/14/20","7:35:00","obsr29084","S67203323",""
"106651",32693,"Orange-crowned Warbler","Leiothlypis celata","2",44.39732,-123.32085,"4/13/20","8:31:00","obsr29084","S67149795",""
"106701",32693,"Orange-crowned Warbler","Leiothlypis celata","3",44.57418,-123.32655,"4/25/20","8:05:00","obsr29084","S67807786",""
"106751",7351,"Osprey","Pandion haliaetus","1",44.5410582,-123.2462597,"4/21/20","7:27:00","obsr641887","S67654523",""
"106801",7351,"Osprey","Pandion haliaetus","1",44.4287832,-123.3045265,"4/26/20","7:02:00","obsr1635081","S67869333","G5237288"
"106851",7351,"Osprey","Pandion haliaetus","2",44.6403471,-123.1013182,"4/12/20","15:25:00","obsr209124","S67297513","G5253160"
"106901",26218,"Pacific Wren","Troglodytes pacificus","X",44.4215209,-123.3151817,"4/20/20","14:00:00","obsr887721","S67562081",""
"106951",26218,"Pacific Wren","Troglodytes pacificus","1",44.553784,-123.273078,"4/21/20","10:59:00","obsr190616","S67591791",""
"107001",26218,"Pacific Wren","Troglodytes pacificus","2",44.597431,-123.262946,"4/10/20","10:06:00","obsr1396237","S67043818","G5173118"
"107051",26218,"Pacific Wren","Troglodytes pacificus","1",44.4345306,-123.5332131,"4/6/20","9:00:00","obsr241043","S66759930",""
"107101",26218,"Pacific Wren","Troglodytes pacificus","2",44.43922,-123.37453,"4/11/20","8:20:00","obsr29674","S69696723",""
"107151",16202,"Pacific-slope Flycatcher","Empidonax difficilis","1",44.399267,-123.355075,"4/28/20","11:22:00","obsr251801","S67977278",""
"107201",16202,"Pacific-slope Flycatcher","Empidonax difficilis","1",44.5869235,-123.3368647,"4/30/20","10:22:00","obsr29084","S68147538",""
"107251",11487,"Peregrine Falcon","Falco peregrinus","1",44.5201324,-123.3461237,"4/12/20","7:05:00","obsr272653","S67081763",""
"107301",1756,"Pied-billed Grebe","Podilymbus podiceps","1",44.3898196,-123.3121777,"4/25/20","15:29:00","obsr458115","S67814183",""
"107351",1756,"Pied-billed Grebe","Podilymbus podiceps","1",44.7173,-123.21867,"4/21/20","8:32:00","obsr29084","S67601432",""
"107401",11150,"Pileated Woodpecker","Dryocopus pileatus","1",44.4100662,-123.3455862,"4/18/20","7:15:00","obsr272653","S67423843",""
"107451",31361,"Pine Siskin","Spinus pinus","1",44.522096,-123.29103,"4/27/20","7:33:00","obsr991502","S67894624",""
"107501",31361,"Pine Siskin","Spinus pinus","1",44.5898239,-123.2860026,"4/1/20","10:30:00","obsr195689","S66501619",""
"107551",31361,"Pine Siskin","Spinus pinus","1",44.658601,-123.126562,"4/13/20","16:26:00","obsr571228","S67155257",""
"107601",31361,"Pine Siskin","Spinus pinus","2",44.596967,-123.274471,"4/8/20","18:38:00","obsr1628131","S66859335","G5165201"
"107651",31361,"Pine Siskin","Spinus pinus","6",44.5410582,-123.2462597,"4/10/20","9:27:00","obsr641887","S66952439",""
"107701",31361,"Pine Siskin","Spinus pinus","6",44.6478024,-123.3039503,"4/6/20","10:26:00","obsr30686","S66738179",""
"107751",31361,"Pine Siskin","Spinus pinus","6",44.5898239,-123.2860026,"4/23/20","9:20:00","obsr195689","S67678153",""
"107801",31098,"Purple Finch","Haemorhous purpureus","1",44.5410582,-123.2462597,"4/12/20","7:53:00","obsr641887","S67087418",""
"107851",31098,"Purple Finch","Haemorhous purpureus","1",44.5485435,-123.3031786,"4/15/20","13:06:00","obsr962532","S67278787",""
"107901",31098,"Purple Finch","Haemorhous purpureus","1",44.5831634,-123.2989993,"4/23/20","6:57:00","obsr190616","S67664970",""
"107951",31098,"Purple Finch","Haemorhous purpureus","3",44.5980522,-123.2627942,"4/28/20","7:52:00","obsr426650","S67965236",""
"108001",31098,"Purple Finch","Haemorhous purpureus","1",44.6060692,-123.2661963,"4/17/20","7:32:00","obsr30686","S67352276",""
"108051",31098,"Purple Finch","Haemorhous purpureus","2",44.4925692,-123.4634247,"4/5/20","9:30:00","obsr177336","S66677722","G5164003"
"108101",31098,"Purple Finch","Haemorhous purpureus","2",44.3911992,-123.3650219,"4/27/20","7:40:00","obsr272653","S67947315",""
"108151",31098,"Purple Finch","Haemorhous purpureus","2",44.5483665,-123.3174348,"4/10/20","11:27:00","obsr339309","S66930628",""
"108201",31098,"Purple Finch","Haemorhous purpureus","1",44.5410582,-123.2462597,"4/19/20","15:22:00","obsr451033","S67675610",""
