,Date,County,Avg_PM2.5,AQI_Category
247,2020-01-12,Douglas,2.68333333333333,Good
248,2020-01-12,Grant,7.0125,Good
249,2020-01-12,Harney,3.35,Good
250,2020-01-12,Jackson,4.99861111111111,Good
251,2020-01-12,Jefferson,1.975,Good
252,2020-01-12,Josephine,3.9263888888888903,Good
253,2020-01-12,Klamath,1.53333333333333,Good
254,2020-01-12,Lake,1.89166666666667,Good
255,2020-01-12,Lane,2.9,Good
256,2020-01-12,Linn,2.61527777777778,Good
257,2020-01-12,Marion,2.6458333333333304,Good
258,2020-01-12,Multnomah,1.9249999999999998,Good
259,2020-01-12,Umatilla,1.6333333333333302,Good
260,2020-01-12,Union,3.1666666666666696,Good
261,2020-01-12,Wallowa,2.3125,Good
262,2020-01-12,Wasco,,NA
263,2020-01-12,Washington,2.470833333333333,Good
264,2020-01-13,Baker,5.4125,Good
265,2020-01-13,Benton,2.55416666666667,Good
266,2020-01-13,Clackamas,,NA
267,2020-01-13,Crook,5.62083333333333,Good
268,2020-01-13,Deschutes,1.8645833333333302,Good
269,2020-01-13,Douglas,5.32083333333333,Good
270,2020-01-13,Grant,5.76666666666667,Good
271,2020-01-13,Harney,,NA
272,2020-01-13,Jackson,6.01388888888889,Good
273,2020-01-13,Jefferson,3.74166666666667,Good
274,2020-01-13,Josephine,4.336111111111113,Good
275,2020-01-13,Klamath,1.4625,Good
276,2020-01-13,Lake,1.51666666666667,Good
277,2020-01-13,Lane,4.6625000000000005,Good
278,2020-01-13,Linn,3.7944444444444465,Good
279,2020-01-13,Marion,2.99166666666667,Good
280,2020-01-13,Multnomah,2.8208333333333364,Good
281,2020-01-13,Umatilla,2.25833333333333,Good
282,2020-01-13,Union,2.65,Good
283,2020-01-13,Wallowa,,NA
284,2020-01-13,Wasco,,NA
285,2020-01-13,Washington,3.2180555555555537,Good
286,2020-01-14,Baker,,NA
287,2020-01-14,Benton,3.9541666666666697,Good
288,2020-01-14,Clackamas,,NA
289,2020-01-14,Crook,5.11666666666667,Good
290,2020-01-14,Deschutes,2.204166666666665,Good
291,2020-01-14,Douglas,4.725,Good
292,2020-01-14,Grant,14.6875,Moderate
293,2020-01-14,Harney,6.60833333333333,Good
294,2020-01-14,Jackson,5.452777777777777,Good
295,2020-01-14,Jefferson,5.08333333333333,Good
296,2020-01-14,Josephine,3.4055555555555563,Good
297,2020-01-14,Klamath,3.3625,Good
298,2020-01-14,Lake,3.4541666666666697,Good
299,2020-01-14,Lane,8.154861111111108,Good
300,2020-01-14,Linn,5.572222222222223,Good
301,2020-01-14,Marion,2.9583333333333304,Good
302,2020-01-14,Multnomah,3.919444444444444,Good
303,2020-01-14,Umatilla,4.525,Good
304,2020-01-14,Union,,NA
305,2020-01-14,Wallowa,4.8875,Good
306,2020-01-14,Wasco,,NA
307,2020-01-14,Washington,4.455555555555553,Good
308,2020-01-15,Baker,5.6541666666666694,Good
309,2020-01-15,Benton,4.8416666666666694,Good
310,2020-01-15,Clackamas,,NA
311,2020-01-15,Crook,3.00833333333333,Good
312,2020-01-15,Deschutes,4.041666666666665,Good
313,2020-01-15,Douglas,5.2166666666666694,Good
314,2020-01-15,Grant,8.7625,Good
315,2020-01-15,Harney,8.3375,Good
316,2020-01-15,Jackson,4.373611111111113,Good
317,2020-01-15,Jefferson,2.09166666666667,Good
318,2020-01-15,Josephine,4.316666666666667,Good
319,2020-01-15,Klamath,15.579166666666698,Moderate
320,2020-01-15,Lake,3.05,Good
321,2020-01-15,Lane,4.586111111111105,Good
322,2020-01-15,Linn,7.194444444444443,Good
323,2020-01-15,Marion,3.175,Good
324,2020-01-15,Multnomah,3.2069444444444435,Good
325,2020-01-15,Umatilla,,NA
326,2020-01-15,Union,3.50833333333333,Good
327,2020-01-15,Wallowa,5.8875,Good
328,2020-01-15,Wasco,,NA
329,2020-01-15,Washington,3.75,Good
330,2020-01-16,Baker,4.075,Good
331,2020-01-16,Benton,4.39166666666667,Good
332,2020-01-16,Clackamas,,NA
333,2020-01-16,Crook,7.50833333333333,Good
334,2020-01-16,Deschutes,3.675,Good
335,2020-01-16,Douglas,7.13333333333333,Good
336,2020-01-16,Grant,7.85,Good
337,2020-01-16,Harney,16.266666666666698,Moderate
338,2020-01-16,Jackson,9.061111111111122,Good
339,2020-01-16,Jefferson,6.04583333333333,Good
340,2020-01-16,Josephine,10.095833333333333,Good
341,2020-01-16,Klamath,5.4083333333333306,Good
342,2020-01-16,Lake,3.4125,Good
343,2020-01-16,Lane,6.438888888888893,Good
344,2020-01-16,Linn,7.154166666666666,Good
345,2020-01-16,Marion,4.6,Good
346,2020-01-16,Multnomah,6.7138888888888895,Good
347,2020-01-16,Umatilla,8.73333333333333,Good
348,2020-01-16,Union,2.87083333333333,Good
349,2020-01-16,Wallowa,2.2958333333333303,Good
350,2020-01-16,Wasco,,NA
351,2020-01-16,Washington,5.4652777777777795,Good
352,2020-01-17,Baker,10.8208333333333,Good
353,2020-01-17,Benton,4.83333333333333,Good
354,2020-01-17,Clackamas,,NA
355,2020-01-17,Crook,6.5625,Good
356,2020-01-17,Deschutes,3.4375,Good
357,2020-01-17,Douglas,5.89166666666667,Good
358,2020-01-17,Grant,16.775,Moderate
359,2020-01-17,Harney,10.35,Good
360,2020-01-17,Jackson,9.877777777777778,Good
361,2020-01-17,Jefferson,11.3125,Good
362,2020-01-17,Josephine,11.295833333333334,Good
363,2020-01-17,Klamath,4.0625,Good
364,2020-01-17,Lake,3.9625,Good
365,2020-01-17,Lane,3.374305555555555,Good
366,2020-01-17,Linn,7.408333333333334,Good
367,2020-01-17,Marion,4.25416666666667,Good
368,2020-01-17,Multnomah,7.834722222222223,Good
369,2020-01-17,Umatilla,19.0666666666667,Moderate
370,2020-01-17,Union,4.8375,Good
371,2020-01-17,Wallowa,6.2208333333333306,Good
372,2020-01-17,Wasco,,NA
373,2020-01-17,Washington,7.129166666666666,Good
374,2020-01-18,Baker,6.575,Good
375,2020-01-18,Benton,3.125,Good
376,2020-01-18,Clackamas,,NA
377,2020-01-18,Crook,6.93333333333333,Good
378,2020-01-18,Deschutes,2.7375,Good
379,2020-01-18,Douglas,2.85,Good
380,2020-01-18,Grant,10.870833333333302,Good
381,2020-01-18,Harney,14.5541666666667,Moderate
382,2020-01-18,Jackson,4.544444444444443,Good
383,2020-01-18,Jefferson,2.06666666666667,Good
384,2020-01-18,Josephine,7.995833333333333,Good
385,2020-01-18,Klamath,7.57083333333333,Good
386,2020-01-18,Lake,9.20416666666667,Good
387,2020-01-18,Lane,3.71388888888889,Good
388,2020-01-18,Linn,4.31111111111111,Good
389,2020-01-18,Marion,3.49583333333333,Good
390,2020-01-18,Multnomah,3.0152777777777797,Good
391,2020-01-18,Umatilla,16.345833333333303,Moderate
392,2020-01-18,Union,3.4625,Good
393,2020-01-18,Wallowa,9.15833333333333,Good
394,2020-01-18,Wasco,,NA
395,2020-01-18,Washington,4.75138888888889,Good
396,2020-01-19,Baker,7.2875,Good
397,2020-01-19,Benton,4.9875,Good
398,2020-01-19,Clackamas,,NA
399,2020-01-19,Crook,8.25416666666667,Good
400,2020-01-19,Deschutes,4.26875,Good
401,2020-01-19,Douglas,7.81666666666667,Good
402,2020-01-19,Grant,11.466666666666699,Good
403,2020-01-19,Harney,13.595833333333301,Moderate
404,2020-01-19,Jackson,7.076388888888878,Good
405,2020-01-19,Jefferson,6.4875,Good
406,2020-01-19,Josephine,7.826388888888887,Good
407,2020-01-19,Klamath,13.495833333333302,Moderate
408,2020-01-19,Lake,17.108333333333302,Moderate
409,2020-01-19,Lane,6.3687499999999995,Good
410,2020-01-19,Linn,5.120833333333336,Good
411,2020-01-19,Marion,10.0166666666667,Good
412,2020-01-19,Multnomah,6.676388888888887,Good
413,2020-01-19,Umatilla,16.154166666666697,Moderate
414,2020-01-19,Union,2.96666666666667,Good
415,2020-01-19,Wallowa,8.50833333333333,Good
416,2020-01-19,Wasco,,NA
417,2020-01-19,Washington,6.165277777777777,Good
418,2020-01-20,Baker,7.35416666666667,Good
419,2020-01-20,Benton,12.529166666666699,Moderate
420,2020-01-20,Clackamas,,NA
421,2020-01-20,Crook,4.0916666666666694,Good
422,2020-01-20,Deschutes,5.341666666666665,Good
423,2020-01-20,Douglas,12.9458333333333,Moderate
424,2020-01-20,Grant,20.7125,Moderate
425,2020-01-20,Harney,16.0541666666667,Moderate
426,2020-01-20,Jackson,7.5847222222222195,Good
427,2020-01-20,Jefferson,21.108333333333302,Moderate
428,2020-01-20,Josephine,8.326388888888891,Good
429,2020-01-20,Klamath,8.55416666666667,Good
430,2020-01-20,Lake,12.408333333333301,Moderate
431,2020-01-20,Lane,9.124999999999998,Good
432,2020-01-20,Linn,9.148611111111101,Good
433,2020-01-20,Marion,22.6916666666667,Moderate
434,2020-01-20,Multnomah,8.856944444444443,Good
435,2020-01-20,Umatilla,8.825,Good
436,2020-01-20,Union,2.97083333333333,Good
437,2020-01-20,Wallowa,15.2416666666667,Moderate
438,2020-01-20,Wasco,,NA
439,2020-01-20,Washington,10.591666666666676,Good
440,2020-01-21,Baker,9.13333333333333,Good
441,2020-01-21,Benton,4.15,Good
442,2020-01-21,Clackamas,,NA
443,2020-01-21,Crook,2.3125,Good
444,2020-01-21,Deschutes,2.1791666666666654,Good
445,2020-01-21,Douglas,5.65,Good
446,2020-01-21,Grant,15.7125,Moderate
447,2020-01-21,Harney,19.170833333333302,Moderate
448,2020-01-21,Jackson,5.234722222222223,Good
449,2020-01-21,Jefferson,8.42083333333333,Good
450,2020-01-21,Josephine,5.531944444444444,Good
451,2020-01-21,Klamath,2.8375,Good
